# Transit light curve
# generated: 2026-09-15T14:33:38.886763+00:00
# target_ra_deg: 314.269
# target_dec_deg: 31.661
# n_comparison_stars: 5
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461298.513515 1.006422 0.001120
2461298.514908 1.002129 0.001126
2461298.516304 1.000887 0.001113
2461298.517699 1.007161 0.001116
2461298.519099 1.003084 0.001112
2461298.520495 1.003028 0.001112
2461298.521890 1.005801 0.001114
2461298.523284 1.007870 0.001116
2461298.524678 1.008890 0.001117
2461298.526073 1.004091 0.001113
2461298.527467 1.005968 0.001114
2461298.528861 1.003382 0.001112
2461298.530255 1.002947 0.001115
2461298.531650 1.000946 0.001113
2461298.533044 1.001149 0.001112
2461298.534438 1.003559 0.001119
2461298.535832 1.001381 0.001112
2461298.537227 1.001090 0.001113
2461298.538621 1.000517 0.001110
2461298.540016 0.997350 0.001109
2461298.541411 1.001965 0.001112
2461298.542806 1.000366 0.001108
2461298.544201 0.999069 0.001107
2461298.545595 1.000000 0.001106
2461298.546990 1.002088 0.001109
2461298.548385 1.002354 0.001108
2461298.549779 1.003376 0.001112
2461298.551174 1.003910 0.001108
2461298.552568 0.999211 0.001104
2461298.553962 1.002955 0.001107
2461298.555356 1.002512 0.001107
2461298.556751 0.999719 0.001103
2461298.558146 0.999315 0.001105
2461298.559540 0.998147 0.001102
2461298.560935 0.998572 0.001106
2461298.562328 0.996249 0.001107
2461298.563722 0.994347 0.001102
2461298.565117 0.990620 0.001099
2461298.566511 0.994129 0.001103
2461298.567905 0.992693 0.001100
2461298.569300 0.989717 0.001099
2461298.570694 0.991046 0.001099
2461298.572088 0.991828 0.001103
2461298.573482 0.989891 0.001096
2461298.574877 0.990452 0.001099
2461298.576271 0.989027 0.001102
2461298.577665 0.987835 0.001109
2461298.579058 0.986076 0.001102
2461298.580453 0.989407 0.001101
2461298.581848 0.988213 0.001093
2461298.583242 0.991022 0.001095
2461298.584636 0.989275 0.001095
2461298.586030 0.995153 0.001099
2461298.587424 0.990261 0.001095
2461298.588819 0.992195 0.001096
2461298.590215 0.989217 0.001094
2461298.591609 0.987142 0.001092
2461298.593003 0.986633 0.001093
2461298.594397 0.989179 0.001097
2461298.595791 0.988716 0.001097
2461298.600017 0.994998 0.001104
2461298.601412 0.994478 0.001109
2461298.602807 0.992343 0.001103
2461298.604201 0.993994 0.001107
2461298.605597 0.993473 0.001109
2461298.606991 0.996880 0.001112
2461298.608385 0.994831 0.001103
2461298.609780 0.991538 0.001100
2461298.611174 0.993344 0.001104
2461298.612568 0.991795 0.001100
2461298.613963 0.990415 0.001099
2461298.615357 0.992482 0.001101
2461298.616751 0.993058 0.001101
2461298.618146 0.992456 0.001102
2461298.619540 0.990983 0.001100
2461298.620934 0.996757 0.001106
2461298.622328 0.995008 0.001103
2461298.623723 0.995464 0.001104
2461298.625118 0.992746 0.001101
2461298.626512 0.992515 0.001100
2461298.627906 0.992621 0.001100
2461298.629300 0.994250 0.001105
2461298.630694 0.993045 0.001105
2461298.632089 0.994085 0.001102
2461298.633483 0.998509 0.001106
2461298.634877 0.992342 0.001100
2461298.636271 0.995808 0.001104
2461298.637665 0.994559 0.001104
2461298.639060 0.992272 0.001103
2461298.640454 0.993893 0.001104
2461298.641849 0.993100 0.001102
2461298.643244 0.994128 0.001103
2461298.644638 0.990017 0.001098
2461298.646032 0.994439 0.001104
2461298.647426 0.998160 0.001108
2461298.648821 0.997457 0.001106
2461298.650216 0.992600 0.001102
2461298.651610 0.994643 0.001103
2461298.653004 1.001702 0.001108
2461298.654398 1.000663 0.001108
2461298.655793 1.001592 0.001111
2461298.657188 1.001915 0.001110
2461298.658583 1.004941 0.001113
2461298.659977 1.001792 0.001110
2461298.661372 1.005403 0.001115
2461298.662767 1.007830 0.001114
2461298.664162 1.004997 0.001112
2461298.665556 1.003950 0.001112
2461298.666951 1.009274 0.001117
2461298.668345 1.003332 0.001110
2461298.669741 1.002020 0.001111
2461298.671135 1.006840 0.001116
2461298.672530 1.002787 0.001111
2461298.673926 1.008727 0.001118
2461298.675322 1.007545 0.001116
2461298.676717 1.007864 0.001120
2461298.678112 1.001888 0.001115
2461298.679506 0.999825 0.001115
2461298.680900 1.000070 0.001114
2461298.682295 1.004214 0.001123
2461298.683692 1.004445 0.001118
2461298.685089 1.001926 0.001114
2461298.686484 1.002164 0.001113
2461298.687880 1.002564 0.001114
2461298.689274 1.008929 0.001119
2461298.690669 1.004807 0.001115
2461298.692064 1.003691 0.001113
2461298.693458 1.003822 0.001116
2461298.694853 1.001295 0.001112
2461298.696247 1.000248 0.001113
2461298.697642 1.004463 0.001116
2461298.699036 1.005280 0.001116
2461298.700431 1.007076 0.001119
2461298.701825 1.006257 0.001117
2461298.703220 1.003653 0.001118
2461298.704614 1.003756 0.001118
2461298.706008 1.003933 0.001120
2461298.707403 1.002603 0.001119
2461298.708797 1.004630 0.001120
2461298.710191 1.001182 0.001122
2461298.711586 1.002774 0.001123
2461298.712981 1.003247 0.001121
2461298.714375 1.004213 0.001127
2461298.715769 1.001742 0.001123
2461298.717163 0.995457 0.001122
2461298.718558 1.001743 0.001128
2461298.719952 0.995472 0.001121
2461298.721346 1.003047 0.001127
2461298.722740 0.995046 0.001121
