# Transit light curve
# generated: 2026-09-07T17:31:29.867840+00:00
# target_ra_deg: 298.39526
# target_dec_deg: 47.81501
# n_comparison_stars: 5
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461278.518141 1.002355 0.007224
2461278.518502 1.045337 0.007962
2461278.518863 1.014657 0.007338
2461278.519225 1.014413 0.007241
2461278.519589 1.026816 0.007264
2461278.519952 1.021177 0.007273
2461278.520317 1.017803 0.007276
2461278.520679 1.018198 0.007273
2461278.521043 1.003000 0.007171
2461278.521405 1.000587 0.007201
2461278.521768 1.012690 0.007236
2461278.522131 1.024090 0.007317
2461278.522494 1.029482 0.007504
2461278.522858 0.996307 0.007129
2461278.523221 1.015840 0.007232
2461278.523581 1.007059 0.007175
2461278.523943 0.996912 0.007209
2461278.524304 1.011037 0.007230
2461278.524664 1.035559 0.007361
2461278.525028 0.989864 0.007075
2461278.525389 1.006580 0.007193
2461278.525749 1.010547 0.007200
2461278.526111 1.015555 0.007226
2461278.526475 1.023219 0.007310
2461278.526838 1.006766 0.007185
2461278.527201 1.011229 0.007216
2461278.527562 1.031475 0.007379
2461278.527926 1.014121 0.007259
2461278.528286 1.003708 0.007203
2461278.528648 1.021658 0.007241
2461278.529012 0.993948 0.007124
2461278.529373 1.017525 0.007272
2461278.529735 1.011640 0.007263
2461278.530096 1.013339 0.007221
2461278.530457 1.015542 0.007234
2461278.530819 1.006391 0.007192
2461278.531182 0.991137 0.007115
2461278.531545 1.036664 0.007370
2461278.531909 0.985318 0.007080
2461278.532272 1.013514 0.007266
2461278.532632 0.984492 0.007068
2461278.532994 1.012225 0.007307
2461278.533354 1.011618 0.007223
2461278.533715 1.017709 0.007219
2461278.534079 0.978353 0.007024
2461278.534444 1.002376 0.007165
2461278.534808 1.017221 0.007241
2461278.535171 0.995730 0.007132
2461278.535531 1.012122 0.007187
2461278.535894 1.005543 0.007187
2461278.536257 0.999486 0.007171
2461278.536616 0.995567 0.007167
2461278.536978 1.007667 0.007213
2461278.537340 1.011124 0.007222
2461278.537702 1.019956 0.007260
2461278.538065 0.990962 0.007092
2461278.538427 0.994158 0.007099
2461278.538793 1.006659 0.007189
2461278.539154 1.020395 0.007250
2461278.539515 0.994049 0.007098
2461278.539878 1.008164 0.007153
2461278.540239 0.997881 0.007114
2461278.540603 1.001375 0.007151
2461278.540967 1.020168 0.007253
2461278.541331 0.985508 0.007078
2461278.541694 1.017991 0.007239
2461278.542055 0.992581 0.007122
2461278.542415 1.017949 0.007243
2461278.542778 1.006790 0.007151
2461278.543139 0.997350 0.007173
2461278.543499 0.983579 0.007066
2461278.543863 1.019597 0.007249
2461278.544225 1.009800 0.007219
2461278.544585 1.020409 0.007275
2461278.544947 1.015156 0.007250
2461278.545308 0.985920 0.007047
2461278.545668 0.999838 0.007125
2461278.546030 1.021611 0.007308
2461278.546391 0.993279 0.007119
2461278.546752 1.004521 0.007184
