# Transit light curve
# generated: 2026-09-25T19:18:23.598145+00:00
# target_ra_deg: 359.15201
# target_dec_deg: 36.21299
# n_comparison_stars: 3
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461307.500243 1.049432 0.003390
2461307.501056 1.056785 0.003409
2461307.501865 1.060075 0.003396
2461307.502675 1.049406 0.003380
2461307.503484 1.050559 0.003372
2461307.504295 1.050141 0.003336
2461307.505107 1.053711 0.003358
2461307.505912 1.047730 0.003349
2461307.506724 1.051540 0.003370
2461307.507532 1.044931 0.003344
2461307.508337 1.050971 0.003363
2461307.509145 1.052935 0.003392
2461307.509950 1.042907 0.003345
2461307.510764 1.039932 0.003334
2461307.511578 1.033747 0.003310
2461307.512381 1.044138 0.003379
2461307.513189 1.045410 0.003356
2461307.514000 1.038929 0.003346
2461307.514810 1.039724 0.003311
2461307.515618 1.024214 0.003289
2461307.516424 1.030786 0.003292
2461307.517235 1.031046 0.003353
2461307.518038 1.035904 0.003327
2461307.518841 1.027147 0.003273
2461307.519652 1.021698 0.003265
2461307.520457 1.029983 0.003287
2461307.521268 1.020949 0.003279
2461307.522081 1.025432 0.003259
2461307.522882 1.013352 0.003267
2461307.523688 1.029498 0.003276
2461307.524499 1.022933 0.003267
2461307.525311 1.026942 0.003265
2461307.526118 1.029173 0.003278
2461307.526928 1.027178 0.003259
2461307.527741 1.024996 0.003265
2461307.528546 1.017601 0.003225
2461307.529352 1.031997 0.003283
2461307.530165 1.024607 0.003266
2461307.530973 1.019385 0.003235
2461307.531776 1.027299 0.003281
2461307.532579 1.029349 0.003290
2461307.533394 1.025653 0.003274
2461307.534208 1.027049 0.003270
2461307.535022 1.032175 0.003323
2461307.535828 1.019631 0.003247
2461307.536633 1.017339 0.003240
2461307.537447 1.017517 0.003240
2461307.538253 1.020032 0.003235
2461307.539061 1.025227 0.003246
2461307.539874 1.016766 0.003222
2461307.540681 1.005035 0.003172
2461307.541494 1.016101 0.003226
2461307.542298 1.008125 0.003204
2461307.543102 1.020608 0.003239
2461307.543915 1.017897 0.003222
2461307.544727 1.028069 0.003261
2461307.545535 1.026663 0.003248
2461307.546346 1.024116 0.003241
2461307.547151 1.022903 0.003270
2461307.547967 1.012458 0.003226
2461307.548776 1.016080 0.003307
2461307.549592 1.012876 0.003226
2461307.550407 1.009270 0.003227
2461307.551208 1.005187 0.003194
2461307.552014 1.010247 0.003209
2461307.552823 1.008383 0.003213
2461307.553636 1.009418 0.003205
2461307.554443 1.007060 0.003192
2461307.555256 1.013675 0.003231
2461307.556069 1.003503 0.003197
2461307.556883 1.020210 0.003251
2461307.557692 1.010519 0.003219
2461307.558499 1.004684 0.003208
2461307.559315 1.005451 0.003231
2461307.560120 1.004457 0.003205
2461307.560937 0.996199 0.003192
2461307.561751 1.000797 0.003198
2461307.562557 1.001800 0.003211
2461307.563357 1.003015 0.003229
2461307.564169 1.000541 0.003212
2461307.564972 1.002588 0.003195
2461307.565780 0.995470 0.003174
2461307.566595 1.007932 0.003208
2461307.567406 1.006121 0.003214
2461307.568214 0.997529 0.003204
2461307.569024 0.997222 0.003184
2461307.569826 0.995188 0.003186
2461307.570633 1.002008 0.003189
2461307.571437 0.998169 0.003186
2461307.572251 1.002777 0.003177
2461307.573064 0.992893 0.003173
2461307.573871 1.000225 0.003181
2461307.574682 0.997490 0.003205
2461307.575497 1.008023 0.003202
2461307.576312 0.995856 0.003160
2461307.577126 1.008289 0.003202
2461307.577932 0.998872 0.003204
2461307.578740 0.999581 0.003178
2461307.579549 0.999775 0.003177
2461307.580363 0.991042 0.003146
2461307.581167 0.993997 0.003154
2461307.581981 0.992820 0.003146
2461307.582794 0.996252 0.003174
2461307.583599 0.998053 0.003173
2461307.584405 0.992657 0.003158
2461307.585214 0.994342 0.003158
2461307.586024 0.994985 0.003155
2461307.586832 0.989025 0.003138
2461307.587631 0.988764 0.003137
2461307.588439 0.982269 0.003124
2461307.589246 0.987560 0.003131
2461307.590052 0.990802 0.003151
2461307.590863 0.990787 0.003137
2461307.591666 0.984756 0.003128
2461307.592472 0.989736 0.003138
2461307.593285 0.992754 0.003149
2461307.594092 0.981695 0.003121
2461307.594901 0.986314 0.003140
2461307.595712 0.991162 0.003168
2461307.596519 0.985611 0.003135
2461307.597333 0.984168 0.003168
2461307.598143 0.979986 0.003123
2461307.598957 0.982845 0.003146
2461307.599760 0.988808 0.003160
2461307.600573 0.988872 0.003196
2461307.601385 0.993134 0.003235
2461307.602187 0.988076 0.003257
2461307.603001 0.990143 0.003265
2461307.603807 0.982556 0.003256
2461307.604622 0.994939 0.003273
2461307.605427 0.984794 0.003267
2461307.606239 0.999348 0.003335
2461307.607049 0.990251 0.003322
2461307.607862 0.993845 0.003363
2461307.608671 0.995947 0.003384
2461307.609483 1.004662 0.003435
2461307.610291 0.992465 0.003403
2461307.611102 0.992172 0.003414
2461307.611909 0.989521 0.003399
2461307.612719 0.996808 0.003433
2461307.613522 0.990214 0.003398
2461307.614336 0.996266 0.003385
2461307.615144 0.990004 0.003351
2461307.615954 0.986367 0.003298
2461307.616762 0.999694 0.003359
2461307.617575 0.991632 0.003356
2461307.618378 0.987056 0.003338
2461307.619183 0.983241 0.003335
2461307.619988 0.981085 0.003326
2461307.620800 0.992026 0.003375
2461307.621606 0.986488 0.003335
2461307.622413 0.994840 0.003356
2461307.623227 0.989537 0.003353
2461307.624032 0.992760 0.003346
2461307.624845 0.995113 0.003388
2461307.625659 0.989353 0.003425
2461307.626474 0.991305 0.003506
2461307.627281 1.003122 0.003586
2461307.628090 1.008221 0.003658
2461307.628892 0.994529 0.003642
2461307.629705 0.993214 0.003690
2461307.630508 0.991711 0.003703
2461307.631316 1.000513 0.003778
2461307.632124 0.990671 0.003755
2461307.632936 0.989097 0.003757
2461307.633752 0.991544 0.003801
2461307.634560 0.995219 0.003825
2461307.635367 0.997062 0.003876
2461307.636179 0.987974 0.003864
