# Transit light curve
# generated: 2026-09-25T02:17:16.928504+00:00
# target_ra_deg: 359.15201
# target_dec_deg: 36.21299
# n_comparison_stars: 3
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461307.500243 1.000093 0.003434
2461307.501056 1.006549 0.003451
2461307.501865 1.009803 0.003438
2461307.502675 1.001601 0.003429
2461307.503484 1.003239 0.003423
2461307.504295 1.003785 0.003392
2461307.505107 1.007102 0.003414
2461307.505912 1.002309 0.003409
2461307.506724 1.006842 0.003432
2461307.507532 1.001203 0.003410
2461307.508337 1.006497 0.003427
2461307.509145 1.007358 0.003453
2461307.509950 0.997346 0.003405
2461307.510764 0.993925 0.003390
2461307.511578 0.989764 0.003373
2461307.512381 1.000285 0.003445
2461307.513189 1.002650 0.003426
2461307.514000 0.998586 0.003424
2461307.514810 0.999886 0.003389
2461307.515618 0.985592 0.003369
2461307.516424 0.993268 0.003379
2461307.517235 0.992647 0.003438
2461307.518038 0.997017 0.003408
2461307.518841 0.987860 0.003352
2461307.519652 0.983862 0.003349
2461307.520457 0.992897 0.003375
2461307.521268 0.985033 0.003372
2461307.522081 0.989408 0.003351
2461307.522882 0.979104 0.003364
2461307.523688 0.992353 0.003366
2461307.524499 0.985864 0.003356
2461307.525311 0.990857 0.003358
2461307.526118 0.993605 0.003372
2461307.526928 0.996484 0.003372
2461307.527741 0.994144 0.003379
2461307.528546 0.986152 0.003336
2461307.529352 0.999807 0.003394
2461307.530165 0.995451 0.003383
2461307.530973 0.991669 0.003355
2461307.531776 0.999833 0.003404
2461307.532579 1.001405 0.003412
2461307.533394 0.995386 0.003388
2461307.534208 0.996857 0.003385
2461307.535022 1.001627 0.003438
2461307.535828 0.991192 0.003369
2461307.536633 0.990820 0.003368
2461307.537447 0.993023 0.003375
2461307.538253 0.995646 0.003369
2461307.539061 1.002484 0.003387
2461307.539874 0.994761 0.003364
2461307.540681 0.985379 0.003318
2461307.541494 0.997439 0.003377
2461307.542298 0.990048 0.003356
2461307.543102 1.000897 0.003388
2461307.543915 0.994746 0.003361
2461307.544727 1.003083 0.003395
2461307.545535 1.000470 0.003379
2461307.546346 0.996980 0.003368
2461307.547151 0.996863 0.003401
2461307.547967 0.988825 0.003364
2461307.548776 0.993815 0.003451
2461307.549592 0.994069 0.003378
2461307.550407 0.991882 0.003383
2461307.551208 0.991651 0.003363
2461307.552014 0.997399 0.003381
2461307.552823 0.997149 0.003392
2461307.553636 0.998291 0.003384
2461307.554443 0.994052 0.003364
2461307.555256 1.001479 0.003408
2461307.556069 0.993290 0.003380
2461307.556883 1.009303 0.003434
2461307.557692 0.999986 0.003400
2461307.558499 0.995956 0.003394
2461307.559315 0.995440 0.003414
2461307.560120 0.995869 0.003394
2461307.560937 0.987462 0.003379
2461307.561751 0.994455 0.003394
2461307.562557 0.995511 0.003408
2461307.563357 0.997470 0.003429
2461307.564169 0.995185 0.003412
2461307.564972 0.995901 0.003390
2461307.565780 0.989341 0.003368
2461307.566595 1.001212 0.003403
2461307.567406 0.999822 0.003411
2461307.568214 0.991097 0.003400
2461307.569024 0.992268 0.003384
2461307.569826 0.990570 0.003387
2461307.570633 0.998920 0.003396
2461307.571437 0.995400 0.003394
2461307.572251 1.000136 0.003385
2461307.573064 0.990015 0.003380
2461307.573871 0.996559 0.003385
2461307.574682 0.994198 0.003411
2461307.575497 1.004009 0.003405
2461307.576312 0.992364 0.003363
2461307.577126 1.006801 0.003414
2461307.577932 0.998075 0.003419
2461307.578740 0.999777 0.003394
2461307.579549 1.000482 0.003394
2461307.580363 0.992209 0.003364
2461307.581167 0.996513 0.003375
2461307.581981 0.997107 0.003373
2461307.582794 1.001821 0.003410
2461307.583599 1.002957 0.003407
2461307.584405 0.998349 0.003393
2461307.585214 1.000216 0.003395
2461307.586024 1.001344 0.003392
2461307.586832 0.995422 0.003374
2461307.587631 0.997476 0.003380
2461307.588439 0.992830 0.003374
2461307.589246 0.998231 0.003382
2461307.590052 1.001597 0.003404
2461307.590863 1.000441 0.003383
2461307.591666 0.993018 0.003369
2461307.592472 0.997745 0.003379
2461307.593285 1.001302 0.003392
2461307.594092 0.990094 0.003362
2461307.594901 0.996608 0.003389
2461307.595712 1.002114 0.003421
2461307.596519 0.999019 0.003395
2461307.597333 0.996740 0.003428
2461307.598143 0.992769 0.003380
2461307.598957 0.997028 0.003410
2461307.599760 1.001674 0.003421
2461307.600573 1.001289 0.003457
2461307.601385 1.004258 0.003497
2461307.602187 1.000014 0.003524
2461307.603001 1.002002 0.003532
2461307.603807 0.994424 0.003523
2461307.604622 1.008327 0.003544
2461307.605427 0.997341 0.003534
2461307.606239 1.013279 0.003612
2461307.607049 1.003386 0.003594
2461307.607862 1.005201 0.003632
2461307.608671 1.008040 0.003658
2461307.609483 1.016907 0.003713
2461307.610291 1.005053 0.003680
2461307.611102 1.004400 0.003690
2461307.611909 1.002558 0.003679
2461307.612719 1.009710 0.003714
2461307.613522 1.003698 0.003678
2461307.614336 1.008794 0.003661
2461307.615144 1.005584 0.003636
2461307.615954 1.001243 0.003577
2461307.616762 1.016075 0.003647
2461307.617575 1.007928 0.003644
2461307.618378 1.004315 0.003628
2461307.619183 1.000157 0.003624
2461307.619988 0.997852 0.003614
2461307.620800 1.009221 0.003670
2461307.621606 1.002420 0.003622
2461307.622413 1.010052 0.003643
2461307.623227 1.005048 0.003641
2461307.624032 1.006604 0.003627
2461307.624845 1.010254 0.003677
2461307.625659 1.005698 0.003723
2461307.626474 1.007513 0.003811
2461307.627281 1.022419 0.003906
2461307.628090 1.025928 0.003977
2461307.628892 1.016897 0.003979
2461307.629705 1.014668 0.004028
2461307.630508 1.015501 0.004053
2461307.631316 1.024070 0.004132
2461307.632124 1.013454 0.004105
2461307.632936 1.013828 0.004118
2461307.633752 1.016090 0.004165
2461307.634560 1.019212 0.004188
2461307.635367 1.022278 0.004248
2461307.636179 1.011581 0.004231
2461307.636994 1.017353 0.004251
2461307.637809 1.024009 0.004285
2461307.638621 1.014667 0.004286
2461307.639431 1.021681 0.004332
2461307.640241 1.022029 0.004395
2461307.641050 1.017987 0.004373
2461307.641860 1.020056 0.004421
2461307.642670 1.020454 0.004433
2461307.643479 1.024124 0.004518
2461307.644290 1.022743 0.004505
2461307.645096 1.021513 0.004529
2461307.645909 1.023387 0.004581
2461307.646722 1.024983 0.004599
