# Transit light curve
# generated: 2026-09-25T20:31:50.663649+00:00
# target_ra_deg: 359.15201
# target_dec_deg: 36.21299
# n_comparison_stars: 3
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461307.500243 0.998794 0.003429
2461307.501056 1.005237 0.003447
2461307.501865 1.008489 0.003433
2461307.502675 1.000288 0.003425
2461307.503484 1.001928 0.003419
2461307.504295 1.002467 0.003388
2461307.505107 1.005785 0.003410
2461307.505912 1.000992 0.003404
2461307.506724 1.005523 0.003427
2461307.507532 0.999891 0.003405
2461307.508337 1.005178 0.003422
2461307.509145 1.006040 0.003448
2461307.509950 0.996043 0.003400
2461307.510764 0.992624 0.003386
2461307.511578 0.988467 0.003369
2461307.512381 0.998975 0.003441
2461307.513189 1.001339 0.003421
2461307.514000 0.997278 0.003419
2461307.514810 0.998572 0.003385
2461307.515618 0.984295 0.003365
2461307.516424 0.991962 0.003374
2461307.517235 0.991349 0.003433
2461307.518038 0.995702 0.003403
2461307.518841 0.986566 0.003347
2461307.519652 0.982566 0.003345
2461307.520457 0.991590 0.003371
2461307.521268 0.983740 0.003367
2461307.522081 0.988114 0.003346
2461307.522882 0.977816 0.003359
2461307.523688 0.991046 0.003361
2461307.524499 0.984567 0.003352
2461307.525311 0.989552 0.003354
2461307.526118 0.992302 0.003368
2461307.526928 0.995170 0.003368
2461307.527741 0.992836 0.003374
2461307.528546 0.984854 0.003332
2461307.529352 0.998490 0.003389
2461307.530165 0.994142 0.003378
2461307.530973 0.990363 0.003350
2461307.531776 0.998511 0.003399
2461307.532579 1.000082 0.003408
2461307.533394 0.994071 0.003383
2461307.534208 0.995543 0.003380
2461307.535022 1.000310 0.003433
2461307.535828 0.989887 0.003365
2461307.536633 0.989519 0.003364
2461307.537447 0.991713 0.003370
2461307.538253 0.994333 0.003364
2461307.539061 1.001159 0.003383
2461307.539874 0.993452 0.003360
2461307.540681 0.984084 0.003314
2461307.541494 0.996125 0.003373
2461307.542298 0.988739 0.003351
2461307.543102 0.999579 0.003384
2461307.543915 0.993433 0.003356
2461307.544727 1.001763 0.003391
2461307.545535 0.999147 0.003374
2461307.546346 0.995664 0.003364
2461307.547151 0.995549 0.003396
2461307.547967 0.987518 0.003359
2461307.548776 0.992502 0.003446
2461307.549592 0.992751 0.003374
2461307.550407 0.990567 0.003379
2461307.551208 0.990341 0.003358
2461307.552014 0.996085 0.003377
2461307.552823 0.995837 0.003387
2461307.553636 0.996975 0.003380
2461307.554443 0.992740 0.003359
2461307.555256 1.000157 0.003403
2461307.556069 0.991979 0.003375
2461307.556883 1.007969 0.003429
2461307.557692 0.998666 0.003395
2461307.558499 0.994645 0.003390
2461307.559315 0.994127 0.003409
2461307.560120 0.994552 0.003389
2461307.560937 0.986157 0.003374
2461307.561751 0.993139 0.003390
2461307.562557 0.994196 0.003404
2461307.563357 0.996152 0.003424
2461307.564169 0.993866 0.003407
2461307.564972 0.994583 0.003385
2461307.565780 0.988039 0.003364
2461307.566595 0.999893 0.003398
2461307.567406 0.998500 0.003407
2461307.568214 0.989784 0.003395
2461307.569024 0.990958 0.003379
2461307.569826 0.989265 0.003383
2461307.570633 0.997605 0.003392
2461307.571437 0.994087 0.003390
2461307.572251 0.998810 0.003381
2461307.573064 0.988713 0.003376
2461307.573871 0.995244 0.003381
2461307.574682 0.992887 0.003407
2461307.575497 1.002687 0.003401
2461307.576312 0.991060 0.003359
2461307.577126 1.005472 0.003409
2461307.577932 0.996760 0.003414
2461307.578740 0.998456 0.003390
2461307.579549 0.999167 0.003390
2461307.580363 0.990901 0.003359
2461307.581167 0.995202 0.003371
2461307.581981 0.995795 0.003369
2461307.582794 1.000494 0.003405
2461307.583599 1.001636 0.003402
2461307.584405 0.997032 0.003389
2461307.585214 0.998897 0.003390
2461307.586024 1.000022 0.003388
2461307.586832 0.994110 0.003370
2461307.587631 0.996163 0.003376
2461307.588439 0.991517 0.003370
2461307.589246 0.996913 0.003377
2461307.590052 1.000267 0.003399
2461307.590863 0.999123 0.003378
2461307.591666 0.991705 0.003365
2461307.592472 0.996430 0.003374
2461307.593285 0.999978 0.003388
2461307.594092 0.988791 0.003357
2461307.594901 0.995289 0.003385
2461307.595712 1.000787 0.003416
2461307.596519 0.997704 0.003391
2461307.597333 0.995424 0.003423
2461307.598143 0.991457 0.003376
2461307.598957 0.995706 0.003406
2461307.599760 1.000350 0.003417
2461307.600573 0.999964 0.003453
2461307.601385 1.002930 0.003493
2461307.602187 0.998689 0.003520
2461307.603001 1.000680 0.003527
2461307.603807 0.993114 0.003518
2461307.604622 1.006995 0.003540
2461307.605427 0.996021 0.003529
2461307.606239 1.011941 0.003607
2461307.607049 1.002062 0.003589
2461307.607862 1.003874 0.003627
2461307.608671 1.006707 0.003653
2461307.609483 1.015564 0.003708
2461307.610291 1.003722 0.003675
2461307.611102 1.003073 0.003685
2461307.611909 1.001238 0.003674
2461307.612719 1.008371 0.003709
2461307.613522 1.002370 0.003674
2461307.614336 1.007462 0.003656
2461307.615144 1.004252 0.003631
2461307.615954 0.999920 0.003572
2461307.616762 1.014733 0.003642
2461307.617575 1.006597 0.003639
2461307.618378 1.002992 0.003623
2461307.619183 0.998841 0.003619
2461307.619988 0.996536 0.003610
2461307.620800 1.007889 0.003665
2461307.621606 1.001099 0.003617
2461307.622413 1.008720 0.003638
2461307.623227 1.003723 0.003636
2461307.624032 1.005278 0.003623
2461307.624845 1.008922 0.003672
2461307.625659 1.004378 0.003718
2461307.626474 1.006188 0.003806
2461307.627281 1.021081 0.003901
2461307.628090 1.024587 0.003971
2461307.628892 1.015564 0.003974
2461307.629705 1.013339 0.004023
2461307.630508 1.014170 0.004048
2461307.631316 1.022732 0.004127
2461307.632124 1.012120 0.004100
2461307.632936 1.012496 0.004113
2461307.633752 1.014760 0.004159
2461307.634560 1.017875 0.004183
2461307.635367 1.020938 0.004243
2461307.636179 1.010254 0.004226
2461307.636994 1.016020 0.004245
2461307.637809 1.022664 0.004279
2461307.638621 1.013342 0.004281
2461307.639431 1.020344 0.004326
2461307.640241 1.020685 0.004389
2461307.641050 1.016652 0.004367
2461307.641860 1.018723 0.004415
2461307.642670 1.019122 0.004427
2461307.643479 1.022781 0.004512
2461307.644290 1.021404 0.004499
