# Transit light curve
# generated: 2026-09-23T13:18:47.152807+00:00
# target_ra_deg: 329.102
# target_dec_deg: 20.678
# n_comparison_stars: 2
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461306.561618 1.021287 0.001754
2461306.562068 1.034409 0.001767
2461306.562506 1.032033 0.001760
2461306.562943 0.986700 0.001695
2461306.563381 1.042296 0.001770
2461306.563818 1.032506 0.001751
2461306.564257 0.990463 0.001696
2461306.564695 1.034240 0.001758
2461306.565133 0.986430 0.001702
2461306.565571 0.989911 0.001701
2461306.566009 0.983880 0.001696
2461306.566447 1.011145 0.001730
2461306.566884 0.999053 0.001713
2461306.567321 1.002090 0.001718
2461306.567759 1.016751 0.001727
2461306.568197 1.051145 0.001775
2461306.568635 1.004442 0.001717
2461306.569074 0.965093 0.001669
2461306.569512 1.000068 0.001715
2461306.569950 0.974106 0.001680
2461306.570388 1.014802 0.001737
2461306.570826 1.025466 0.001748
2461306.571264 1.008059 0.001720
2461306.571701 0.998557 0.001710
2461306.572138 0.998189 0.001701
2461306.572575 1.033594 0.001744
2461306.573014 1.019410 0.001730
2461306.573452 1.051308 0.001770
2461306.573889 1.014152 0.001726
2461306.574328 1.012255 0.001722
2461306.574767 1.033416 0.001748
2461306.575205 1.053132 0.001775
2461306.575643 1.012025 0.001723
2461306.576082 0.997260 0.001703
2461306.576524 1.020293 0.001737
2461306.576962 1.039100 0.001763
2461306.577401 1.021346 0.001737
2461306.577839 1.011933 0.001729
2461306.578278 1.066033 0.001794
2461306.578714 1.040002 0.001767
2461306.579152 1.053579 0.001782
2461306.579589 1.003381 0.001715
2461306.580027 0.984000 0.001692
2461306.580464 0.987041 0.001685
2461306.580901 0.988142 0.001692
2461306.581340 0.963334 0.001659
2461306.581777 1.021015 0.001734
2461306.582216 0.988959 0.001705
2461306.582655 1.071882 0.001907
2461306.583097 1.075845 0.001947
2461306.583535 1.056551 0.001950
2461306.583974 1.036968 0.001893
2461306.584412 1.076310 0.001914
2461306.584851 1.055396 0.001831
2461306.585288 1.027610 0.001814
2461306.585726 0.986288 0.001738
2461306.586163 0.973346 0.001713
2461306.586600 0.974431 0.001696
2461306.587037 0.992823 0.001712
2461306.587476 0.964470 0.001663
2461306.587914 1.007721 0.001718
2461306.588352 0.958509 0.001656
2461306.588790 0.979729 0.001689
2461306.589232 1.033052 0.001762
2461306.589671 1.010155 0.001728
2461306.590110 0.995885 0.001701
2461306.590549 0.977143 0.001678
2461306.590988 0.991752 0.001696
2461306.591430 0.992266 0.001701
2461306.591869 0.983164 0.001686
2461306.592307 0.963328 0.001660
2461306.592746 1.025516 0.001747
2461306.593181 0.998862 0.001709
2461306.593618 0.976979 0.001675
2461306.594055 0.922065 0.001605
2461306.594493 0.958003 0.001648
2461306.594932 0.960534 0.001660
2461306.595370 0.980233 0.001684
2461306.595809 0.954437 0.001649
2461306.596247 0.964314 0.001659
2461306.596686 0.971565 0.001670
2461306.597124 0.950634 0.001645
2461306.597562 0.949090 0.001643
2461306.598000 0.950173 0.001641
2461306.598437 0.949126 0.001643
2461306.598874 0.931824 0.001624
2461306.599312 1.020527 0.001871
2461306.599750 1.112665 0.002182
2461306.600189 1.000000 0.001794
2461306.600628 0.957101 0.001654
2461306.601066 0.924986 0.001610
2461306.601505 0.933528 0.001621
2461306.601944 0.967952 0.001665
2461306.602383 0.962203 0.001660
2461306.602822 0.983040 0.001685
2461306.603260 0.925694 0.001610
2461306.603699 0.949929 0.001644
2461306.604138 0.944521 0.001643
2461306.604577 0.961820 0.001656
2461306.605015 0.993606 0.001703
2461306.605454 1.026508 0.001743
2461306.605893 0.961466 0.001662
2461306.606331 0.948164 0.001646
2461306.606770 0.943397 0.001633
2461306.607208 0.991208 0.001694
2461306.607646 1.005531 0.001709
2461306.608082 0.940275 0.001631
2461306.608521 0.935387 0.001629
2461306.608959 0.973291 0.001671
2461306.609402 0.995089 0.001706
2461306.609840 0.947125 0.001639
2461306.610278 0.962739 0.001658
2461306.610715 0.941050 0.001633
2461306.611155 0.940748 0.001636
2461306.611594 0.941852 0.001645
2461306.612032 0.957168 0.001666
2461306.612471 0.929886 0.001634
2461306.612909 0.943816 0.001646
2461306.613346 0.939117 0.001642
2461306.613783 0.900239 0.001584
2461306.614222 0.963063 0.001658
2461306.614659 0.923232 0.001611
2461306.615097 0.916147 0.001598
2461306.615537 0.936364 0.001627
2461306.615975 0.927764 0.001616
2461306.616411 0.928567 0.001619
2461306.616850 0.949211 0.001642
2461306.620456 0.872291 0.001613
2461306.620893 0.884346 0.001619
2461306.621330 0.902486 0.001640
2461306.621773 0.926734 0.001656
2461306.622209 0.884838 0.001614
2461306.622647 0.918782 0.001653
2461306.623083 0.939927 0.001685
2461306.623520 0.895858 0.001636
2461306.623960 0.919364 0.001653
2461306.624398 0.927641 0.001667
2461306.624837 0.933390 0.001671
2461306.625276 0.938770 0.001678
2461306.625714 0.915599 0.001650
2461306.626152 0.892078 0.001625
2461306.626591 0.881384 0.001605
2461306.627033 0.918441 0.001657
2461306.627470 0.923512 0.001667
2461306.627909 0.896336 0.001639
2461306.628347 0.953291 0.001701
2461306.628787 0.955960 0.001708
2461306.629227 1.010282 0.001775
2461306.629666 0.930418 0.001678
2461306.630119 0.942822 0.001681
2461306.630559 0.974394 0.001721
2461306.630997 0.971389 0.001714
2461306.631435 0.918320 0.001657
2461306.631874 0.884121 0.001623
2461306.632314 0.974110 0.001722
2461306.632753 0.955110 0.001696
2461306.633191 0.894294 0.001630
2461306.633629 0.889203 0.001630
2461306.634067 0.874965 0.001609
2461306.634506 0.888911 0.001628
2461306.634945 0.923391 0.001660
2461306.635384 0.878483 0.001614
2461306.635822 0.943748 0.001683
2461306.636258 0.901625 0.001628
2461306.636696 0.903616 0.001642
2461306.637134 0.918474 0.001658
2461306.637571 0.895637 0.001626
2461306.638009 0.874497 0.001606
2461306.638448 0.923682 0.001659
2461306.638886 0.893921 0.001630
2461306.639325 0.885136 0.001631
2461306.639763 0.906909 0.001649
2461306.640202 0.866170 0.001602
2461306.640640 0.872414 0.001618
2461306.641078 0.907667 0.001658
2461306.641516 0.885479 0.001626
2461306.641954 0.937305 0.001687
2461306.642396 0.900861 0.001649
2461306.642832 0.885191 0.001632
2461306.643269 0.907272 0.001658
2461306.643708 0.896697 0.001635
2461306.644146 0.903142 0.001645
2461306.644586 0.899871 0.001643
2461306.645025 0.898833 0.001650
2461306.645464 0.888344 0.001636
2461306.645905 0.883267 0.001621
2461306.646344 0.928059 0.001678
2461306.646783 0.903677 0.001648
2461306.647223 0.886991 0.001637
2461306.647662 0.906248 0.001649
2461306.648101 0.871274 0.001610
2461306.648540 0.911084 0.001667
2461306.648980 0.903570 0.001647
2461306.649418 0.891583 0.001636
2461306.649857 0.884786 0.001622
2461306.650295 0.869473 0.001621
2461306.650732 0.941744 0.001685
2461306.651171 0.948911 0.001690
2461306.651608 0.878694 0.001616
2461306.652045 0.973895 0.001734
2461306.652483 1.012517 0.001764
2461306.652920 0.961544 0.001719
2461306.653357 0.948555 0.001695
2461306.653796 0.931280 0.001688
2461306.654235 0.966090 0.001719
2461306.654674 0.968955 0.001726
2461306.655112 0.920394 0.001671
2461306.655551 0.967624 0.001719
2461306.655988 0.943255 0.001686
2461306.656427 0.925293 0.001671
2461306.656865 0.934454 0.001683
2461306.657304 0.917741 0.001669
2461306.657741 0.955291 0.001725
2461306.658178 1.025343 0.001813
2461306.658615 0.940315 0.001696
2461306.659053 0.926504 0.001671
2461306.659493 0.970003 0.001723
2461306.659930 0.971404 0.001726
2461306.660368 0.925168 0.001679
2461306.660806 0.922081 0.001667
2461306.661244 0.895566 0.001647
2461306.661683 0.932471 0.001690
2461306.662121 0.946606 0.001710
2461306.662559 0.934939 0.001700
2461306.662996 0.963936 0.001723
2461306.663434 0.963810 0.001729
2461306.663872 0.930439 0.001686
2461306.664308 0.947993 0.001704
2461306.664746 0.952505 0.001742
2461306.665184 0.971820 0.001771
2461306.665621 0.957158 0.001719
2461306.666059 0.913854 0.001668
2461306.666496 0.940881 0.001705
2461306.666934 0.942360 0.001706
2461306.667372 0.979398 0.001745
2461306.667809 0.969243 0.001735
2461306.668248 0.935972 0.001692
2461306.668686 0.950137 0.001709
2461306.669129 0.979731 0.001735
2461306.669568 0.954558 0.001717
2461306.670008 0.931204 0.001678
2461306.670447 0.913342 0.001657
2461306.670884 0.944294 0.001719
2461306.671322 0.966161 0.001733
2461306.671760 0.994547 0.001768
2461306.672198 1.006160 0.001823
2461306.672637 0.990056 0.001797
2461306.673076 1.067939 0.002111
2461306.673515 1.253504 0.002580
2461306.673954 1.272783 0.002665
2461306.674830 1.190096 0.002234
2461306.675270 1.096890 0.001916
2461306.675708 1.077342 0.001875
2461306.676145 1.063297 0.001867
2461306.676582 1.127165 0.001943
2461306.677019 1.030357 0.001816
2461306.677456 1.197087 0.002022
2461306.677894 1.108794 0.001920
2461306.678334 1.037495 0.001828
2461306.678774 1.156391 0.001975
2461306.679214 1.100616 0.001910
2461306.679653 1.070808 0.001873
2461306.680093 1.052670 0.001877
2461306.680533 1.054732 0.001876
2461306.680971 1.122636 0.001954
2461306.681411 1.047104 0.001838
2461306.681852 1.052191 0.001831
2461306.682292 1.084582 0.001882
2461306.682732 1.075386 0.001864
2461306.683173 1.090507 0.001884
2461306.683610 1.127315 0.001960
2461306.684049 1.056201 0.001848
2461306.684487 1.106834 0.001896
2461306.684926 1.115150 0.001910
2461306.685365 1.058452 0.001854
2461306.685804 1.122493 0.001932
2461306.686244 1.166572 0.001971
2461306.686683 1.089716 0.001889
2461306.687122 1.070264 0.001855
2461306.687562 1.204491 0.002014
2461306.688000 1.138990 0.001944
2461306.688439 1.184727 0.002002
2461306.688878 1.213016 0.002036
2461306.689315 1.155522 0.001963
2461306.689753 1.143129 0.001952
2461306.690190 1.041872 0.001813
2461306.690627 1.049685 0.001831
2461306.691065 1.015626 0.001783
2461306.691503 1.098279 0.001921
2461306.691943 1.060387 0.001930
2461306.692382 1.127757 0.002030
2461306.692820 1.050239 0.001914
2461306.693259 1.095473 0.001901
2461306.693698 1.080004 0.001867
2461306.694138 1.005082 0.001776
2461306.694577 1.155450 0.001963
2461306.695016 1.067992 0.001848
2461306.695455 1.033869 0.001813
2461306.695895 1.165151 0.001960
2461306.696334 1.079856 0.001860
2461306.696774 1.120639 0.001912
2461306.697211 1.130373 0.001925
2461306.697651 1.051821 0.001833
2461306.698089 0.995040 0.001762
2461306.698527 1.058214 0.001832
2461306.698964 1.130416 0.001925
2461306.699402 1.041389 0.001814
2461306.699839 1.084011 0.001874
2461306.700278 1.086209 0.001881
2461306.700717 1.154363 0.001952
2461306.701154 1.225950 0.002042
2461306.701596 1.215303 0.002033
2461306.702038 1.266302 0.002103
2461306.702477 1.091760 0.001879
2461306.702915 1.113542 0.001907
2461306.703354 1.109249 0.001908
2461306.703793 1.089524 0.001879
2461306.704231 1.063497 0.001849
2461306.704670 1.007876 0.001778
2461306.705109 1.070031 0.001849
2461306.705548 1.091523 0.001885
2461306.705987 1.067454 0.001854
2461306.706426 1.070234 0.001857
2461306.706866 1.064363 0.001856
2461306.707305 1.226780 0.002043
2461306.707743 1.084181 0.001880
2461306.708180 1.098571 0.001899
2461306.708618 1.181284 0.001997
2461306.709055 1.124764 0.001924
2461306.709494 1.148405 0.001955
2461306.709932 1.142260 0.001954
2461306.710370 1.142209 0.001954
2461306.710808 1.201156 0.002011
2461306.711249 1.180838 0.001996
2461306.711688 1.152095 0.001986
2461306.712126 1.126013 0.002063
2461306.712564 1.217932 0.002131
2461306.713004 1.304179 0.002541
2461306.713442 1.192096 0.002153
2461306.713881 1.248257 0.002320
2461306.714320 1.198790 0.002143
2461306.714760 1.472270 0.003035
2461306.715199 1.140893 0.001977
2461306.715638 1.141456 0.001949
2461306.716078 1.167731 0.001984
2461306.716515 1.100939 0.001934
2461306.716953 1.122495 0.001948
2461306.717392 1.133659 0.001951
2461306.717830 1.121855 0.001928
2461306.718270 1.071477 0.001867
2461306.718708 1.110534 0.001915
2461306.719147 1.158504 0.001967
2461306.719584 1.052181 0.001846
2461306.720022 1.088488 0.001892
2461306.720460 1.092071 0.001900
2461306.720903 1.113641 0.001912
2461306.721342 1.160451 0.001978
2461306.721779 1.111971 0.001931
2461306.722217 1.109557 0.001922
2461306.722656 1.109782 0.001928
2461306.723095 1.162233 0.001991
2461306.723536 1.034890 0.001831
2461306.723974 1.284455 0.002131
2461306.724415 1.142534 0.001958
2461306.724853 1.139855 0.001962
2461306.725293 1.116143 0.001920
2461306.725733 1.073670 0.001870
2461306.726173 1.166929 0.001990
2461306.726611 1.060032 0.001858
2461306.727049 1.050702 0.001848
2461306.727487 1.058490 0.001848
2461306.727925 1.143197 0.001961
2461306.728364 1.103953 0.001922
2461306.728802 1.086577 0.001888
2461306.729238 1.068009 0.001866
2461306.729678 1.125165 0.001941
2461306.730115 1.151822 0.001981
2461306.730551 1.123892 0.001948
2461306.730990 1.099885 0.001924
2461306.731429 1.134882 0.001966
2461306.731868 1.192800 0.002044
2461306.732307 1.037715 0.001859
2461306.732748 1.052706 0.001871
2461306.733187 1.007446 0.001804
2461306.733626 1.129885 0.001960
2461306.734064 1.073926 0.001893
2461306.734502 1.098009 0.001927
2461306.734941 1.028412 0.001839
2461306.735380 1.112549 0.001939
2461306.735819 1.048032 0.001862
2461306.736257 1.078223 0.001899
2461306.736694 1.131710 0.001969
2461306.737132 1.242840 0.002102
