# Transit light curve
# generated: 2026-09-23T14:50:15.237637+00:00
# target_ra_deg: 329.102
# target_dec_deg: 20.678
# n_comparison_stars: 2
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461306.561618 1.032357 0.002027
2461306.562068 1.031846 0.002025
2461306.562506 1.032783 0.002023
2461306.562943 0.998798 0.001950
2461306.563381 1.028214 0.002012
2461306.563818 1.023300 0.002000
2461306.564257 0.996990 0.001941
2461306.564695 1.025219 0.002006
2461306.565133 0.992735 0.001939
2461306.565571 1.005557 0.001960
2461306.566009 0.995776 0.001944
2461306.566447 1.007503 0.001962
2461306.566884 1.002139 0.001954
2461306.567321 1.007261 0.001962
2461306.567759 1.013840 0.001974
2461306.568197 1.040758 0.002034
2461306.568635 1.013389 0.001979
2461306.569074 0.979959 0.001906
2461306.569512 1.003358 0.001956
2461306.569950 0.990636 0.001929
2461306.570388 1.011502 0.001976
2461306.570826 1.025038 0.002004
2461306.571264 1.012040 0.001978
2461306.571701 0.994154 0.001938
2461306.572138 0.998784 0.001940
2461306.572575 1.024522 0.002000
2461306.573014 1.016031 0.001984
2461306.573452 1.039027 0.002036
2461306.573889 1.008609 0.001962
2461306.574328 1.004643 0.001959
2461306.574767 1.025045 0.002000
2461306.575205 1.036729 0.002031
2461306.575643 1.014859 0.001979
2461306.576082 1.001229 0.001952
2461306.576524 1.018807 0.001989
2461306.576962 1.033819 0.002024
2461306.577401 1.024840 0.002003
2461306.577839 1.013697 0.001981
2461306.578278 1.055211 0.002074
2461306.578714 1.035994 0.002025
2461306.579152 1.043455 0.002049
2461306.579589 1.005269 0.001960
2461306.580027 0.996376 0.001947
2461306.580464 0.989161 0.001919
2461306.580901 0.995224 0.001934
2461306.581340 0.978344 0.001900
2461306.581777 1.018090 0.001986
2461306.582216 1.001403 0.001955
2461306.582655 1.108564 0.002235
2461306.583097 1.123124 0.002288
2461306.583535 1.116050 0.002293
2461306.583974 1.088808 0.002210
2461306.584412 1.101092 0.002223
2461306.584851 1.069899 0.002126
2461306.585288 1.051433 0.002098
2461306.585726 1.014529 0.002002
2461306.586163 0.994949 0.001961
2461306.586600 0.989148 0.001935
2461306.587037 1.004640 0.001962
2461306.587476 0.971564 0.001892
2461306.587914 1.001207 0.001950
2461306.588352 0.973750 0.001896
2461306.588790 0.984016 0.001917
2461306.589232 1.030921 0.002017
2461306.589671 1.012481 0.001980
2461306.590110 1.000000 0.001944
2461306.590549 0.987598 0.001920
2461306.590988 0.997607 0.001943
2461306.591430 0.998502 0.001947
2461306.591869 0.980425 0.001905
2461306.592307 0.969419 0.001879
2461306.592746 1.014287 0.001986
2461306.593181 0.998717 0.001946
2461306.593618 0.975255 0.001894
2461306.594055 0.943891 0.001826
2461306.594493 0.962207 0.001864
2461306.594932 0.967573 0.001883
2461306.595370 0.981267 0.001911
2461306.595809 0.962857 0.001866
2461306.596247 0.972722 0.001889
2461306.596686 0.970661 0.001884
2461306.597124 0.969006 0.001884
2461306.597562 0.956438 0.001857
2461306.598000 0.964303 0.001869
2461306.598437 0.956104 0.001856
2461306.598874 0.951587 0.001846
2461306.599312 1.073868 0.002184
2461306.599750 1.218285 0.002628
2461306.600189 1.036827 0.002067
2461306.600628 0.972611 0.001890
2461306.601066 0.943559 0.001832
2461306.601505 0.955594 0.001856
2461306.601944 0.974951 0.001897
2461306.602383 0.971249 0.001886
2461306.602822 0.982680 0.001910
2461306.603260 0.951105 0.001841
2461306.603699 0.968003 0.001878
2461306.604138 0.966676 0.001880
2461306.604577 0.968615 0.001877
2461306.605015 0.983454 0.001914
2461306.605454 1.020796 0.001991
2461306.605893 0.972000 0.001887
2461306.606331 0.960373 0.001865
2461306.606770 0.955487 0.001849
2461306.607208 0.992511 0.001925
2461306.607646 1.001726 0.001947
2461306.608082 0.954655 0.001853
2461306.608521 0.954101 0.001855
2461306.608959 0.983641 0.001912
2461306.609402 0.995313 0.001938
2461306.609840 0.962708 0.001870
2461306.610278 0.968682 0.001884
2461306.610715 0.955025 0.001854
2461306.611155 0.965770 0.001878
2461306.611594 0.965195 0.001879
2461306.612032 0.972819 0.001898
2461306.612471 0.957793 0.001870
2461306.612909 0.968442 0.001886
2461306.613346 0.962912 0.001877
2461306.613783 0.923682 0.001795
2461306.614222 0.971350 0.001880
2461306.614659 0.950092 0.001843
2461306.615097 0.936396 0.001816
2461306.615537 0.945127 0.001833
2461306.615975 0.951437 0.001845
2461306.616411 0.947546 0.001837
2461306.616850 0.961452 0.001865
2461306.620456 0.888974 0.001757
2461306.620893 0.896406 0.001761
2461306.621330 0.899624 0.001761
2461306.621773 0.908419 0.001768
2461306.622209 0.893701 0.001754
2461306.622647 0.920440 0.001803
2461306.623083 0.925560 0.001807
2461306.623520 0.898104 0.001767
2461306.623960 0.917964 0.001790
2461306.624398 0.924915 0.001807
2461306.624837 0.923433 0.001803
2461306.625276 0.923963 0.001800
2461306.625714 0.908596 0.001773
2461306.626152 0.891161 0.001747
2461306.626591 0.898842 0.001760
2461306.627033 0.913535 0.001787
2461306.627470 0.920623 0.001801
2461306.627909 0.904620 0.001781
2461306.628347 0.928592 0.001815
2461306.628787 0.931607 0.001820
2461306.629227 0.974822 0.001906
2461306.629666 0.923260 0.001810
2461306.630119 0.926872 0.001809
2461306.630559 0.944131 0.001840
2461306.630997 0.946004 0.001844
2461306.631435 0.914371 0.001787
2461306.631874 0.902560 0.001777
2461306.632314 0.936522 0.001823
2461306.632753 0.942606 0.001842
2461306.633191 0.898737 0.001765
2461306.633629 0.903402 0.001776
2461306.634067 0.878644 0.001731
2461306.634506 0.895524 0.001761
2461306.634945 0.921931 0.001800
2461306.635384 0.891950 0.001758
2461306.635822 0.927191 0.001807
2461306.636258 0.894752 0.001750
2461306.636696 0.904852 0.001775
2461306.637134 0.907321 0.001779
2461306.637571 0.899962 0.001762
2461306.638009 0.879869 0.001736
2461306.638448 0.919509 0.001793
2461306.638886 0.905827 0.001782
2461306.639325 0.898627 0.001774
2461306.639763 0.916837 0.001805
2461306.640202 0.888194 0.001755
2461306.640640 0.894818 0.001767
2461306.641078 0.907099 0.001781
2461306.641516 0.893397 0.001757
2461306.641954 0.927958 0.001820
2461306.642396 0.904591 0.001780
2461306.642832 0.893353 0.001764
2461306.643269 0.910876 0.001794
2461306.643708 0.902675 0.001770
2461306.644146 0.909982 0.001784
2461306.644586 0.906434 0.001781
2461306.645025 0.914650 0.001804
2461306.645464 0.900596 0.001776
2461306.645905 0.888779 0.001750
2461306.646344 0.922209 0.001805
2461306.646783 0.898508 0.001765
2461306.647223 0.902123 0.001782
2461306.647662 0.896889 0.001761
2461306.648101 0.885401 0.001747
2461306.648540 0.906363 0.001786
2461306.648980 0.897010 0.001767
2461306.649418 0.892732 0.001761
2461306.649857 0.889480 0.001757
2461306.650295 0.885426 0.001762
2461306.650732 0.920381 0.001795
2461306.651171 0.935982 0.001831
2461306.651608 0.893048 0.001760
2461306.652045 0.951117 0.001865
2461306.652483 0.970431 0.001899
2461306.652920 0.946339 0.001854
2461306.653357 0.925699 0.001809
2461306.653796 0.926992 0.001820
2461306.654235 0.947871 0.001852
2461306.654674 0.951296 0.001864
2461306.655112 0.917817 0.001805
2461306.655551 0.949920 0.001855
2461306.655988 0.932397 0.001820
2461306.656427 0.916282 0.001793
2461306.656865 0.920178 0.001812
2461306.657304 0.911692 0.001794
2461306.657741 0.934463 0.001843
2461306.658178 0.980043 0.001932
2461306.658615 0.928573 0.001820
2461306.659053 0.916952 0.001794
2461306.659493 0.939886 0.001834
2461306.659930 0.934128 0.001823
2461306.660368 0.920539 0.001802
2461306.660806 0.913951 0.001794
2461306.661244 0.901326 0.001780
2461306.661683 0.924490 0.001818
2461306.662121 0.934348 0.001838
2461306.662559 0.932581 0.001838
2461306.662996 0.939663 0.001839
2461306.663434 0.940152 0.001845
2461306.663872 0.919682 0.001808
2461306.664308 0.931789 0.001835
2461306.664746 0.947711 0.001883
2461306.665184 0.967908 0.001915
2461306.665621 0.947182 0.001856
2461306.666059 0.910050 0.001794
2461306.666496 0.930057 0.001828
2461306.666934 0.923141 0.001816
2461306.667372 0.948415 0.001851
2461306.667809 0.943212 0.001843
2461306.668248 0.927119 0.001820
2461306.668686 0.938489 0.001837
2461306.669129 0.957511 0.001872
2461306.669568 0.940355 0.001845
2461306.670008 0.924158 0.001808
2461306.670447 0.916699 0.001799
2461306.670884 0.952612 0.001885
2461306.671322 0.955363 0.001877
2461306.671760 0.974061 0.001912
2461306.672198 0.999131 0.001990
2461306.672637 0.985713 0.001967
2461306.673076 1.124924 0.002403
2461306.673515 1.346613 0.003036
2461306.673954 1.381923 0.003150
2461306.674830 1.214883 0.002563
2461306.675270 1.067740 0.002131
2461306.675708 1.043215 0.002073
2461306.676145 1.040178 0.002068
2461306.676582 1.085625 0.002166
2461306.677019 1.003679 0.001988
2461306.677456 1.150043 0.002311
2461306.677894 1.062207 0.002107
2461306.678334 1.017549 0.002012
2461306.678774 1.111061 0.002227
2461306.679214 1.066643 0.002122
2461306.679653 1.051125 0.002091
2461306.680093 1.027538 0.002047
2461306.680533 1.038341 0.002071
2461306.680971 1.085243 0.002166
2461306.681411 1.025485 0.002030
2461306.681852 1.025192 0.002026
2461306.682292 1.053741 0.002092
2461306.682732 1.036527 0.002054
