# Transit light curve
# generated: 2026-09-23T13:50:15.119009+00:00
# target_ra_deg: 329.102
# target_dec_deg: 20.678
# n_comparison_stars: 2
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461306.561618 1.033633 0.002454
2461306.562068 1.042189 0.002482
2461306.562506 1.036270 0.002462
2461306.562943 1.003896 0.002366
2461306.563381 1.042174 0.002480
2461306.563818 1.040651 0.002476
2461306.564257 0.999717 0.002350
2461306.564695 1.032691 0.002451
2461306.565133 0.994463 0.002336
2461306.565571 1.006056 0.002368
2461306.566009 1.000000 0.002354
2461306.566447 1.002556 0.002360
2461306.566884 1.002947 0.002359
2461306.567321 1.001686 0.002356
2461306.567759 1.016081 0.002401
2461306.568197 1.043509 0.002486
2461306.568635 1.010728 0.002385
2461306.569074 0.977706 0.002283
2461306.569512 1.000931 0.002356
2461306.569950 0.987779 0.002316
2461306.570388 1.016027 0.002399
2461306.570826 1.028053 0.002438
2461306.571264 1.014379 0.002398
2461306.571701 0.990138 0.002322
2461306.572138 0.995567 0.002337
2461306.572575 1.031153 0.002446
2461306.573014 1.022782 0.002420
2461306.573452 1.054114 0.002518
2461306.573889 1.009420 0.002379
2461306.574328 1.009601 0.002379
2461306.574767 1.025048 0.002429
2461306.575205 1.049209 0.002503
2461306.575643 1.016134 0.002399
2461306.576082 1.008831 0.002377
2461306.576524 1.020090 0.002414
2461306.576962 1.037654 0.002465
2461306.577401 1.030010 0.002444
2461306.577839 1.015036 0.002398
2461306.578278 1.070525 0.002568
2461306.578714 1.038553 0.002470
2461306.579152 1.054325 0.002518
2461306.579589 1.006703 0.002372
2461306.580027 0.996105 0.002341
2461306.580464 0.992066 0.002325
2461306.580901 0.988500 0.002315
2461306.581340 0.967472 0.002251
2461306.581777 1.017617 0.002405
2461306.582216 0.993675 0.002333
2461306.582655 1.125294 0.002748
2461306.583097 1.141750 0.002808
2461306.583535 1.145303 0.002823
2461306.583974 1.103181 0.002686
2461306.584412 1.120957 0.002738
2461306.584851 1.086462 0.002625
2461306.585288 1.063279 0.002552
2461306.585726 1.012182 0.002392
2461306.586163 1.001846 0.002362
2461306.586600 0.989560 0.002322
2461306.587037 0.998268 0.002345
2461306.587476 0.976727 0.002282
2461306.587914 1.009174 0.002381
2461306.588352 0.967099 0.002253
2461306.588790 0.987694 0.002315
2461306.589232 1.038793 0.002470
2461306.589671 1.010359 0.002383
2461306.590110 0.999636 0.002349
2461306.590549 0.984130 0.002300
2461306.590988 0.996026 0.002338
2461306.591430 0.991870 0.002324
2461306.591869 0.985649 0.002307
2461306.592307 0.964816 0.002244
2461306.592746 1.018332 0.002407
2461306.593181 0.998165 0.002343
2461306.593618 0.980791 0.002293
2461306.594055 0.942776 0.002180
2461306.594493 0.965972 0.002247
2461306.594932 0.964779 0.002244
2461306.595370 0.983477 0.002298
2461306.595809 0.965589 0.002246
2461306.596247 0.977830 0.002280
2461306.596686 0.975351 0.002276
2461306.597124 0.961025 0.002236
2461306.597562 0.960018 0.002230
2461306.598000 0.961963 0.002238
2461306.598437 0.959466 0.002226
2461306.598874 0.945729 0.002191
2461306.599312 1.096524 0.002669
2461306.599750 1.306868 0.003370
2461306.600189 1.044160 0.002496
2461306.600628 0.973917 0.002273
2461306.601066 0.945814 0.002190
2461306.601505 0.950263 0.002202
2461306.601944 0.978483 0.002284
2461306.602383 0.968138 0.002255
2461306.602822 0.987450 0.002310
2461306.603260 0.946225 0.002190
2461306.603699 0.961569 0.002236
2461306.604138 0.959571 0.002230
2461306.604577 0.968536 0.002254
2461306.605015 0.990028 0.002319
2461306.605454 1.028540 0.002439
2461306.605893 0.970013 0.002262
2461306.606331 0.957196 0.002219
2461306.606770 0.956664 0.002219
2461306.607208 0.988242 0.002315
2461306.607646 1.009061 0.002377
2461306.608082 0.955463 0.002216
2461306.608521 0.947702 0.002191
2461306.608959 0.981705 0.002294
2461306.609402 0.995828 0.002339
2461306.609840 0.963100 0.002240
2461306.610278 0.974776 0.002274
2461306.610715 0.954100 0.002212
2461306.611155 0.956247 0.002220
2461306.611594 0.960757 0.002234
2461306.612032 0.977334 0.002285
2461306.612471 0.958578 0.002227
2461306.612909 0.973525 0.002270
2461306.613346 0.958477 0.002227
2461306.613783 0.927233 0.002134
2461306.614222 0.972338 0.002264
2461306.614659 0.940717 0.002172
2461306.615097 0.935921 0.002156
2461306.615537 0.945168 0.002186
2461306.615975 0.940586 0.002171
2461306.616411 0.939268 0.002169
2461306.616850 0.960501 0.002231
2461306.620456 0.858767 0.001948
2461306.620893 0.869473 0.001974
2461306.621330 0.876807 0.001990
2461306.621773 0.901552 0.002057
2461306.622209 0.866578 0.001963
2461306.622647 0.895255 0.002043
2461306.623083 0.901420 0.002063
2461306.623520 0.874365 0.001986
2461306.623960 0.893603 0.002036
2461306.624398 0.896329 0.002044
2461306.624837 0.901024 0.002058
2461306.625276 0.902584 0.002063
2461306.625714 0.888375 0.002023
2461306.626152 0.870139 0.001971
2461306.626591 0.871750 0.001977
2461306.627033 0.889638 0.002028
2461306.627470 0.888078 0.002022
2461306.627909 0.877371 0.001997
2461306.628347 0.910807 0.002086
2461306.628787 0.916893 0.002107
2461306.629227 0.957011 0.002223
2461306.629666 0.903712 0.002066
2461306.630119 0.919164 0.002115
2461306.630559 0.935708 0.002160
2461306.630997 0.936141 0.002163
2461306.631435 0.892333 0.002034
2461306.631874 0.867257 0.001967
2461306.632314 0.926132 0.002131
2461306.632753 0.918670 0.002109
2461306.633191 0.873806 0.001986
2461306.633629 0.868507 0.001970
2461306.634067 0.868457 0.001970
2461306.634506 0.867782 0.001969
2461306.634945 0.892568 0.002034
2461306.635384 0.863412 0.001960
2461306.635822 0.904677 0.002068
2461306.636258 0.891592 0.002035
2461306.636696 0.888598 0.002029
2461306.637134 0.894426 0.002041
2461306.637571 0.874856 0.001985
2461306.638009 0.871326 0.001982
2461306.638448 0.892549 0.002034
2461306.638886 0.877141 0.001995
2461306.639325 0.863611 0.001960
2461306.639763 0.886551 0.002022
2461306.640202 0.857704 0.001944
2461306.640640 0.857447 0.001940
2461306.641078 0.874571 0.001986
2461306.641516 0.871051 0.001976
2461306.641954 0.903321 0.002069
2461306.642396 0.879636 0.002000
2461306.642832 0.870165 0.001980
2461306.643269 0.881935 0.002011
2461306.643708 0.876337 0.001988
2461306.644146 0.877942 0.001993
2461306.644586 0.877015 0.001997
2461306.645025 0.883658 0.002014
2461306.645464 0.865488 0.001963
2461306.645905 0.871934 0.001979
2461306.646344 0.897344 0.002047
2461306.646783 0.880579 0.002005
2461306.647223 0.869968 0.001979
2461306.647662 0.884669 0.002013
2461306.648101 0.861588 0.001953
2461306.648540 0.878249 0.002000
2461306.648980 0.882173 0.002009
2461306.649418 0.879457 0.002001
2461306.649857 0.874871 0.001991
2461306.650295 0.860659 0.001956
2461306.650732 0.911851 0.002091
2461306.651171 0.919243 0.002114
2461306.651608 0.865899 0.001968
2461306.652045 0.926585 0.002132
2461306.652483 0.969835 0.002263
2461306.652920 0.920198 0.002118
2461306.653357 0.911685 0.002086
2461306.653796 0.897226 0.002053
2461306.654235 0.925568 0.002130
2461306.654674 0.931158 0.002147
2461306.655112 0.892992 0.002042
2461306.655551 0.938941 0.002173
2461306.655988 0.911862 0.002092
2461306.656427 0.897080 0.002049
2461306.656865 0.909084 0.002087
2461306.657304 0.891045 0.002031
2461306.657741 0.926995 0.002137
2461306.658178 0.977856 0.002290
2461306.658615 0.905048 0.002070
2461306.659053 0.898351 0.002051
2461306.659493 0.934214 0.002155
2461306.659930 0.930812 0.002144
2461306.660368 0.889964 0.002030
2461306.660806 0.898181 0.002049
2461306.661244 0.878751 0.002003
2461306.661683 0.905578 0.002075
2461306.662121 0.908742 0.002084
2461306.662559 0.898824 0.002059
2461306.662996 0.921234 0.002118
2461306.663434 0.918757 0.002112
2461306.663872 0.900154 0.002061
2461306.664308 0.916922 0.002108
2461306.664746 0.929937 0.002149
2461306.665184 0.940586 0.002183
2461306.665621 0.917978 0.002109
2461306.666059 0.886866 0.002024
2461306.666496 0.896228 0.002046
2461306.666934 0.906352 0.002077
2461306.667372 0.923566 0.002122
2461306.667809 0.916522 0.002102
2461306.668248 0.901392 0.002065
2461306.668686 0.908350 0.002081
2461306.669129 0.943360 0.002182
2461306.669568 0.914155 0.002098
2461306.670008 0.908094 0.002079
2461306.670447 0.892288 0.002037
2461306.670884 0.929047 0.002146
2461306.671322 0.938374 0.002171
2461306.671760 0.967457 0.002260
2461306.672198 0.988879 0.002330
2461306.672637 0.974131 0.002283
2461306.673076 1.158568 0.002891
2461306.673515 1.433135 0.003846
2461306.673954 1.476240 0.004019
2461306.674830 1.258159 0.003199
2461306.675270 1.079717 0.002603
2461306.675708 1.045122 0.002493
2461306.676145 1.044779 0.002492
2461306.676582 1.109512 0.002695
2461306.677019 1.010186 0.002387
2461306.677456 1.200604 0.002984
2461306.677894 1.069151 0.002569
2461306.678334 1.013033 0.002397
2461306.678774 1.137955 0.002784
2461306.679214 1.080830 0.002602
2461306.679653 1.058733 0.002535
2461306.680093 1.025666 0.002435
2461306.680533 1.050198 0.002514
2461306.680971 1.111121 0.002698
2461306.681411 1.029347 0.002444
2461306.681852 1.031226 0.002447
2461306.682292 1.064281 0.002552
2461306.682732 1.049953 0.002510
2461306.683173 1.085955 0.002623
2461306.683610 1.117787 0.002728
2461306.684049 1.047137 0.002501
2461306.684487 1.094986 0.002648
2461306.684926 1.103180 0.002673
2461306.685365 1.030465 0.002449
2461306.685804 1.102751 0.002672
2461306.686244 1.160792 0.002856
2461306.686683 1.060573 0.002543
2461306.687122 1.051322 0.002511
2461306.687562 1.205921 0.003000
2461306.688000 1.120959 0.002729
2461306.688439 1.191069 0.002956
2461306.688878 1.207693 0.003005
2461306.689315 1.140704 0.002792
2461306.689753 1.124833 0.002743
2461306.690190 1.017856 0.002407
2461306.690627 1.030315 0.002445
2461306.691065 0.996590 0.002345
2461306.691503 1.085217 0.002619
2461306.691943 1.097030 0.002666
2461306.692382 1.157551 0.002857
2461306.692820 1.081759 0.002619
2461306.693259 1.072173 0.002575
2461306.693698 1.047032 0.002497
2461306.694138 0.987752 0.002319
2461306.694577 1.137657 0.002785
2461306.695016 1.052634 0.002519
2461306.695455 1.012805 0.002395
2461306.695895 1.169734 0.002886
2461306.696334 1.055518 0.002525
2461306.696774 1.116331 0.002717
2461306.697211 1.120424 0.002734
2461306.697651 1.024124 0.002428
2461306.698089 0.974609 0.002276
2461306.698527 1.043788 0.002488
2461306.698964 1.116381 0.002716
2461306.699402 1.028308 0.002442
2461306.699839 1.064071 0.002552
2461306.700278 1.058507 0.002532
2461306.700717 1.159698 0.002854
2461306.701154 1.230683 0.003078
2461306.701596 1.214136 0.003026
