# Transit light curve
# generated: 2026-09-08T14:07:06.145256+00:00
# target_ra_deg: 268.029
# target_dec_deg: 37.5463
# n_comparison_stars: 5
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461291.505004 1.013463 0.003703
2461291.505715 1.005822 0.003673
2461291.506426 1.016775 0.003695
2461291.507135 1.009660 0.003692
2461291.507843 1.005942 0.003671
2461291.508551 1.009456 0.003683
2461291.509261 1.005102 0.003673
2461291.509980 1.006663 0.003700
2461291.510601 1.017168 0.003719
2461291.511230 1.004571 0.003693
2461291.512097 1.010388 0.003708
2461291.512808 1.002950 0.003645
2461291.513517 1.015410 0.003699
2461291.514226 1.000529 0.003648
2461291.514934 1.015303 0.003710
2461291.515642 1.005606 0.003675
2461291.516351 1.006888 0.003673
2461291.517060 1.007867 0.003698
2461291.536480 1.017352 0.003661
2461291.537190 0.999282 0.003579
2461291.537899 0.998245 0.003582
2461291.538797 1.001767 0.003590
2461291.539538 1.014099 0.003637
2461291.540245 0.997148 0.003568
2461291.540955 0.992935 0.003552
2461291.541665 1.002602 0.003590
2461291.542374 1.004313 0.003598
2461291.543083 1.001682 0.003591
2461291.543792 1.008339 0.003603
2461291.544503 0.991822 0.003563
2461291.545210 0.988555 0.003567
2461291.545919 0.988974 0.003551
2461291.546630 1.004104 0.003592
2461291.547339 1.003759 0.003598
2461291.548047 0.994988 0.003587
2461291.548758 1.000630 0.003593
2461291.549467 0.989294 0.003572
2461291.550179 1.001589 0.003614
2461291.550887 0.979487 0.003568
2461291.551596 0.986828 0.003565
2461291.552306 0.988378 0.003569
2461291.553015 0.999718 0.003598
2461291.553724 0.985955 0.003564
2461291.554328 0.996679 0.003586
2461291.555037 0.986562 0.003592
2461291.555749 0.984746 0.003580
2461291.556458 0.977412 0.003545
2461291.557169 0.987966 0.003567
2461291.557877 0.972077 0.003504
2461291.558586 0.988656 0.003562
2461291.559296 0.984537 0.003576
2461291.560016 0.987913 0.003598
2461291.560725 0.979592 0.003580
2461291.561435 0.974715 0.003538
2461291.562143 0.987421 0.003563
2461291.562975 0.985244 0.003556
2461291.563553 0.973981 0.003522
2461291.564392 0.980947 0.003524
2461291.565104 0.977193 0.003517
2461291.565814 0.979728 0.003539
2461291.566524 0.985824 0.003566
2461291.567195 0.985789 0.003565
2461291.567903 0.980362 0.003550
2461291.568641 0.968047 0.003561
2461291.569352 0.980860 0.003574
2461291.570060 0.977392 0.003583
2461291.570716 0.975755 0.003583
2461291.571405 0.977766 0.003591
2461291.572189 0.988261 0.003604
2461291.572905 0.985689 0.003551
2461291.573511 0.984666 0.003581
2461291.574223 0.986036 0.003569
2461291.575036 0.984865 0.003554
2461291.575743 0.975503 0.003533
2461291.576457 0.983897 0.003554
2461291.577105 0.989255 0.003609
2461291.577874 0.996611 0.003592
2461291.578574 0.987128 0.003575
2461291.579282 0.988475 0.003564
2461291.579991 0.994698 0.003560
2461291.580603 1.003135 0.003599
2461291.581312 0.993945 0.003562
2461291.582008 0.989042 0.003555
2461291.582717 0.987818 0.003550
2461291.583429 0.993791 0.003565
2461291.584339 1.005306 0.003603
2461291.585048 1.001324 0.003591
2461291.585759 0.988797 0.003554
2461291.586467 0.989404 0.003567
2461291.587173 0.990499 0.003569
2461291.587882 0.996713 0.003585
2461291.588591 0.994921 0.003595
2461291.589301 0.995053 0.003592
2461291.590013 1.006058 0.003626
2461291.590720 1.009581 0.003617
2461291.591429 0.999833 0.003593
2461291.592137 1.015038 0.003642
2461291.592848 0.993488 0.003567
2461291.593581 1.007675 0.003610
2461291.594290 0.989337 0.003549
2461291.595000 1.004537 0.003603
2461291.595709 1.000573 0.003601
2461291.596418 1.007486 0.003643
2461291.597130 0.994938 0.003726
2461291.597839 0.992709 0.003595
2461291.598550 0.998124 0.003650
2461291.599256 0.999639 0.003636
2461291.599968 1.000264 0.003611
2461291.600660 1.002499 0.003624
2461291.601252 1.012062 0.003645
2461291.602102 1.004501 0.003619
2461291.602786 0.992936 0.003575
2461291.603495 1.003468 0.003608
2461291.604110 0.998039 0.003599
2461291.604820 1.009305 0.003658
2461291.605528 1.004993 0.003628
2461291.606286 1.000167 0.003605
2461291.607066 1.006088 0.003616
2461291.607766 0.993435 0.003577
2461291.608488 1.020476 0.003660
2461291.609161 1.004832 0.003624
2461291.609870 1.004291 0.003686
2461291.610613 1.004164 0.003755
2461291.611197 0.994781 0.003782
2461291.612034 1.013459 0.003876
2461291.612740 1.002312 0.003806
2461291.613379 0.992073 0.003766
2461291.614091 1.009065 0.003781
2461291.614803 0.994794 0.003710
2461291.615579 0.997644 0.003659
2461291.616288 1.000564 0.003678
2461291.616998 1.013515 0.003687
2461291.617655 1.002505 0.003648
2461291.618428 1.000991 0.003653
2461291.619129 1.001186 0.003645
2461291.619776 1.013129 0.003705
2461291.620450 1.007251 0.003671
2461291.621161 1.003967 0.003686
2461291.621870 1.008927 0.003695
2461291.622578 1.023626 0.003776
2461291.623290 1.010693 0.003727
2461291.624000 1.007914 0.003717
2461291.624709 1.010043 0.003779
2461291.625418 1.003979 0.003838
2461291.626121 1.011513 0.003916
2461291.626830 1.021363 0.004017
2461291.627540 1.006694 0.003839
2461291.628249 1.009663 0.003807
2461291.628960 1.016035 0.004025
2461291.629668 1.004799 0.004317
