# Transit light curve
# generated: 2026-09-07T05:06:00.424352+00:00
# target_ra_deg: 289.43463
# target_dec_deg: 49.4734
# n_comparison_stars: 2
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461282.539267 6.708128 0.097933
2461282.539977 7.278300 0.114218
2461282.540686 4.909815 0.072557
2461282.541392 7.896273 0.129163
2461282.542099 7.324440 0.111949
2461282.542808 7.817490 0.123686
2461282.543516 8.658505 0.132313
2461282.544223 8.351599 0.137110
2461282.544936 8.511818 0.129501
2461282.545644 7.429536 0.119998
2461282.546352 10.001625 0.161094
2461282.547061 7.499402 0.116966
2461282.547773 7.422540 0.109646
2461282.548480 9.175012 0.140484
2461282.549188 8.406802 0.131592
2461282.549896 8.275607 0.123475
2461282.550604 6.908179 0.099396
2461282.551316 10.676037 0.178722
2461282.552024 8.919129 0.145331
2461282.552735 10.388480 0.174458
2461282.553443 10.618829 0.180026
2461282.554152 10.030549 0.163297
2461282.554866 7.752005 0.117219
2461282.555574 8.672397 0.138696
2461282.556269 8.141212 0.142506
2461282.556977 9.069587 0.138786
2461282.557685 9.048835 0.138033
2461282.558394 9.209711 0.144288
2461282.559106 9.299000 0.149873
2461282.559813 8.573036 0.134232
2461282.560527 8.900885 0.167677
2461282.561237 12.155144 0.222107
2461282.561949 8.029867 0.127040
2461282.562656 10.749404 0.188591
2461282.563363 8.439598 0.139201
2461282.570899 1.021377 0.009822
2461282.571607 1.057755 0.009966
2461282.572317 0.992672 0.010192
2461282.573027 1.041694 0.010027
2461282.573735 1.031479 0.009585
2461282.574442 1.017319 0.009597
2461282.575150 1.120863 0.010886
2461282.575857 1.085619 0.010409
2461282.576565 0.962850 0.009482
2461282.577274 0.990638 0.009491
2461282.577986 0.995509 0.009156
2461282.578693 1.006493 0.009325
2461282.579400 1.369841 0.012915
2461282.580107 1.024818 0.009566
2461282.580814 1.002602 0.009903
2461282.581526 1.018142 0.009860
2461282.582236 0.974655 0.009536
2461282.582945 1.077065 0.010020
2461282.583652 1.026622 0.009365
2461282.584360 0.949187 0.008786
2461282.585068 1.009621 0.009457
2461282.585779 0.946833 0.008920
2461282.586488 0.997682 0.009302
2461282.587196 1.016493 0.009630
2461282.587904 1.025834 0.009519
2461282.588611 0.973496 0.009204
2461282.589319 1.029371 0.009902
2461282.590027 0.974060 0.009094
2461282.590758 1.014649 0.010171
2461282.591465 1.040352 0.010338
2461282.592173 1.061954 0.009825
2461282.592882 1.054729 0.009972
2461282.593590 1.016904 0.009694
2461282.594298 0.914272 0.008558
2461282.595010 1.091185 0.010258
2461282.595720 1.006168 0.009483
2461282.596431 0.974842 0.009266
2461282.597139 0.959338 0.009042
2461282.597846 0.967873 0.009107
2461282.598553 0.953734 0.008834
2461282.599265 0.965554 0.009043
2461282.599973 0.955022 0.008855
2461282.600681 0.938593 0.008992
2461282.601391 0.997443 0.009134
2461282.602099 1.007945 0.009147
2461282.602807 1.004181 0.009739
2461282.603513 1.036289 0.009795
2461282.604222 1.065991 0.009615
2461282.604934 0.984177 0.009130
2461282.605643 1.003652 0.009232
2461282.606351 0.975383 0.009679
2461282.607061 1.001054 0.010056
2461282.607773 0.960000 0.009337
2461282.608484 1.018796 0.009973
2461282.609192 1.041515 0.009953
2461282.609898 0.958180 0.009401
2461282.610606 1.056528 0.010269
2461282.611317 0.974777 0.009687
